14,14,^,10000000000
7,12,>,10000000000
7,2,<,8025
9,1,^,9030
3,3,>,4014
5,6,<,6017
15,7,<,12042
5,9,^,9034
4,14,>,10000000000
8,14,v,10000000000
12,3,v,13035
9,12,^,10000000000
15,2,<,12047
15,6,<,12043
3,6,<,4013
15,4,>,12045
10,9,v,9035
15,12,<,6037
12,12,^,10000000000
9,12,v,10000000000
8,1,^,10000000000
7,1,v,7024
2,1,^,3015
2,11,^,10000000000
11,13,>,6032
1,10,v,3005
4,6,<,10000000000
9,3,v,9028
5,5,>,6018
7,9,<,8032
13,13,v,7034
3,13,<,4020
2,12,^,10000000000
4,15,^,5023
10,7,v,10000000000
13,1,^,11046
9,4,^,10000000000
4,10,>,10000000000
14,8,<,10000000000
14,15,v,5033
11,11,>,8034
15,6,^,11043
11,12,<,8033
7,3,<,8026
7,15,v,5026
13,4,^,11043
13,6,<,10000000000
11,7,>,10038
12,12,v,10000000000
12,9,v,10000000000
10,5,v,11039
7,6,^,9029
10,13,v,7031
3,15,>,4022
11,13,v,7032
14,1,<,12049
8,13,^,7029
9,1,v,11030
3,10,>,4017
14,3,<,10000000000
14,13,<,10000000000
12,14,^,10000000000
9,8,^,9035
14,12,<,10000000000
1,6,>,2009
4,14,<,10000000000
4,1,v,10000000000
2,14,>,10000000000
5,8,<,10000000000
8,14,>,10000000000
12,10,<,10000000000
6,9,<,8033
12,1,^,10000000000
7,2,v,7025
15,8,v,11043
10,14,v,10000000000
9,7,<,10036
15,12,^,5037
6,6,<,10000000000
7,13,v,7028
4,5,<,10000000000
1,7,v,3008
4,6,^,10000000000
13,7,v,11040
13,11,^,9036
15,5,>,12044
11,6,^,10000000000
3,7,>,4014
13,13,^,7034
8,10,>,10000000000
13,14,<,10000000000
2,2,^,10000000000
15,2,>,12047
1,5,>,2010
9,5,<,10038
4,5,^,10000000000
10,3,^,10000000000
5,1,v,7022
5,7,^,5016
2,11,<,10000000000
13,8,v,10000000000
6,5,^,10000000000
6,3,v,10000000000
14,11,>,10000000000
12,4,v,10000000000
9,8,>,10035
7,7,>,8030
3,7,v,3014
10,10,^,10000000000
8,5,<,10000000000
9,11,>,10036
10,9,^,9035
15,9,>,10040
12,9,<,10000000000
7,8,<,10000000000
5,14,<,6025
14,3,>,10000000000
10,4,>,10000000000
5,3,^,5020
13,8,>,10000000000
4,8,>,10000000000
1,13,v,3002
1,8,v,3007
6,3,<,10000000000
3,5,v,3012
7,15,^,5026
10,8,^,10000000000
12,7,v,11039
6,9,>,10033
9,15,<,6028
5,12,^,5027
6,9,v,9033
5,5,^,5018
2,11,>,10000000000
10,5,<,12037
4,13,<,10000000000
14,13,v,10000000000
1,7,>,2008
5,3,<,6020
9,10,<,10000000000
8,13,>,6029
1,4,<,2011
9,2,<,10029
4,14,v,10000000000
4,5,>,10000000000
1,12,>,2003
7,2,>,8025
11,8,<,10037
3,4,v,3019
5,6,>,6017
4,2,^,10000000000
13,9,v,11038
13,12,<,10000000000
10,10,<,10000000000
14,9,<,12039
15,11,^,5038
13,2,<,12045
4,10,<,10000000000
3,8,<,4015
8,4,v,10000000000
4,8,v,10000000000
6,10,v,10000000000
11,1,^,11032
9,3,<,10028
6,14,>,10000000000
7,14,^,10000000000
6,9,^,9033
15,3,<,12046
5,5,v,7018
6,6,^,10000000000
15,13,^,5036
11,7,^,9038
8,12,>,10000000000
4,15,<,6023
11,8,>,10037
9,14,v,10000000000
5,10,^,10000000000
13,12,^,10000000000
8,10,v,10000000000
