51,54,^,10000000000
70,55,>,10000000000
7,86,v,21095
110,69,v,77365
32,87,v,10000000000
109,42,<,10000000000
33,15,v,49228
28,80,>,10000000000
116,124,>,10000000000
57,54,v,55235
42,15,<,62261
17,67,^,39184
67,121,>,54228
66,5,v,10000000000
98,113,^,10000000000
60,16,v,10000000000
38,4,<,10000000000
74,65,<,10000000000
99,76,^,10000000000
116,34,>,10000000000
132,69,^,71347
91,135,^,31154
133,6,<,100479
6,74,v,10000000000
139,13,>,88436
25,34,>,10000000000
116,114,v,10000000000
103,28,<,82341
68,132,>,10000000000
13,20,^,39191
22,139,^,11041
78,22,v,10000000000
97,24,<,10000000000
124,10,>,10000000000
60,135,>,10000000000
51,42,<,42201
114,31,^,93375
14,14,^,10000000000
53,104,<,10000000000
128,60,>,10000000000
71,97,v,59264
133,103,^,63296
108,31,v,85351
138,101,>,64303
19,133,v,15052
82,47,^,10000000000
28,120,<,10000000000
64,94,<,10000000000
110,121,v,10000000000
43,104,^,10000000000
59,89,v,79320
97,61,<,90354
66,31,>,10000000000
11,29,<,32176
63,105,>,64236
73,10,>,10000000000
7,127,>,6030
71,128,>,10000000000
81,128,^,10000000000
57,89,<,46190
78,138,>,10000000000
8,137,<,6015
60,136,v,10000000000
7,119,<,6042
122,2,<,10000000000
21,102,v,10000000000
106,89,>,10000000000
6,94,^,10000000000
95,79,<,70306
132,62,v,10000000000
3,122,>,10027
99,26,>,76317
98,89,<,68297
10,42,<,10000000000
82,120,<,10000000000
43,10,<,10000000000
109,90,>,60277
58,104,^,10000000000
131,75,>,68330
108,56,>,10000000000
126,61,>,70351
93,42,<,10000000000
42,89,>,10000000000
59,130,<,20099
15,59,<,36170
42,118,^,10000000000
133,129,v,55258
29,130,>,10000000000
19,109,<,10052
37,122,^,10000000000
130,46,^,10000000000
81,58,v,10000000000
30,50,>,10000000000
75,54,^,73285
139,4,>,100485
136,128,^,10000000000
29,72,v,10000000000
91,133,>,32156
77,113,<,40206
68,44,>,10000000000
41,113,<,20102
133,48,^,73365
99,130,^,33167
7,12,>,10000000000
105,52,<,86395
80,39,<,76305
108,48,>,10000000000
71,115,v,45214
38,51,>,10000000000
61,13,v,65302
96,94,v,10000000000
91,19,>,68354
112,116,v,10000000000
57,86,v,79327
88,56,^,10000000000
70,106,^,10000000000
72,138,v,10000000000
38,19,^,51233
34,133,v,19077
130,38,^,10000000000
42,118,<,10000000000
104,117,v,41199
100,105,>,10000000000
72,119,<,10000000000
95,28,^,10000000000
19,123,>,6038
49,50,>,50219
35,4,>,10000000000
22,100,>,10000000000
109,27,^,95376
129,79,<,72340
29,19,v,51228
7,90,^,10000000000
128,83,<,68325
8,21,v,10000000000
83,105,>,50240
27,59,^,33162
11,25,v,39188
78,125,^,10000000000
17,108,>,10000000000
111,68,v,75363
49,78,>,44183
25,91,>,24116
81,47,^,69280
86,139,>,26137
36,44,v,10000000000
139,119,^,59274
101,108,>,10000000000
28,22,v,10000000000
119,37,^,83420
86,37,v,79305
50,36,<,10000000000
57,102,>,60225
50,117,<,22101
87,14,<,10000000000
99,28,^,77319
47,65,>,54224
38,21,^,10000000000
101,66,v,89419
18,65,^,37179
128,44,<,10000000000
126,51,<,10000000000
128,89,>,66311
10,70,v,10000000000
40,126,v,10000000000
96,46,^,10000000000
43,79,>,40170
94,16,>,10000000000
26,63,<,10000000000
36,93,^,37171
81,87,>,56252
107,132,^,41195
131,43,^,69366
34,40,<,10000000000
94,68,v,10000000000
54,87,^,10000000000
18,31,>,42205
130,120,<,10000000000
63,34,^,10000000000
34,47,<,36175
54,48,<,10000000000
58,13,^,65299
125,136,^,59267
69,76,<,10000000000
106,46,^,10000000000
99,104,<,50225
46,40,v,10000000000
123,8,<,100483
79,34,<,70301
58,76,^,10000000000
26,88,<,10000000000
46,79,^,10000000000
83,109,^,53244
114,138,>,10000000000
8,36,>,10000000000
107,55,>,92418
57,52,^,57233
75,109,^,45216
109,41,>,90362
27,6,<,10000000000
125,52,>,10000000000
77,73,v,77326
49,15,>,70308
3,56,^,27133
128,96,^,10000000000
81,119,v,39196
69,31,^,59256
55,84,v,10000000000
79,42,<,66273
135,35,v,79402
31,118,>,10000000000
10,62,<,10000000000
64,75,>,10000000000
92,45,>,10000000000
127,127,<,56262
99,93,<,56260
105,117,<,40198
108,5,>,10000000000
123,16,<,10000000000
61,92,^,10000000000
118,63,>,10000000000
109,51,^,87400
110,131,<,38191
108,81,>,10000000000
24,78,^,10000000000
11,52,>,34159
16,110,v,10000000000
87,90,>,88357
61,25,v,63262
126,14,<,10000000000
3,94,^,10000000000
36,18,v,10000000000
105,25,>,112434
88,73,<,10000000000
117,71,>,72356
53,29,<,64282
81,115,>,42208
62,72,>,10000000000
18,12,^,10000000000
22,69,^,39187
96,33,v,79327
57,120,v,10000000000
39,120,>,10000000000
76,42,<,10000000000
108,106,^,10000000000
92,60,v,10000000000
100,136,v,10000000000
137,18,v,91447
14,31,v,33173
87,30,^,10000000000
112,15,^,10000000000
139,47,v,71370
43,91,v,35162
36,29,>,48221
97,96,<,10000000000
28,92,^,10000000000
77,68,^,75305
49,4,v,61281
17,36,v,45213
113,83,>,64296
48,15,^,71309
138,93,^,67313
40,119,^,10000000000
11,46,v,31147
81,62,^,10000000000
19,36,^,45217
128,48,^,10000000000
25,9,^,51242
103,70,v,10000000000
110,67,^,10000000000
122,60,^,10000000000
43,19,>,58250
38,72,<,10000000000
90,56,>,10000000000
51,89,<,44176
69,15,^,61276
134,16,v,10000000000
61,133,<,20102
30,21,>,50225
17,27,^,43200
44,68,^,10000000000
71,95,^,55250
92,83,^,10000000000
33,130,v,17071
53,14,v,63295
76,76,>,10000000000
103,99,^,67278
134,114,v,10000000000
123,88,>,66317
26,64,<,10000000000
32,82,^,10000000000
9,52,<,34167
77,46,v,10000000000
113,87,^,67292
71,118,<,10000000000
130,9,>,98471
51,6,^,63287
104,34,>,10000000000
57,33,^,53230
58,54,<,10000000000
68,65,^,69283
132,101,v,10000000000
49,84,v,43171
66,59,v,10000000000
2,105,^,9057
77,62,v,10000000000
70,43,v,10000000000
70,47,<,68273
108,112,>,10000000000
101,86,^,10000000000
5,128,>,10000000000
40,48,<,10000000000
10,81,^,17105
12,75,<,18109
85,102,>,10000000000
94,94,v,10000000000
76,129,>,10000000000
39,77,^,31144
2,27,^,10000000000
67,7,>,62302
94,62,<,10000000000
86,30,^,10000000000
77,24,v,10000000000
127,135,<,58262
74,59,<,78303
12,71,<,10000000000
36,72,>,10000000000
35,19,v,53234
90,43,<,10000000000
3,108,<,10053
125,35,>,96388
91,97,<,60264
82,115,^,10000000000
134,50,^,10000000000
